address,location,price,publish_time,room_area,room_img,room_infos,room_layout,room_orientation,room_url,surrounding_desc,title
海棠佳苑,"104.141005,30.607856",1900,房源维护时间：2021-06-06,,"https://image1.ljcdn.com/110000-inspection/pc0_931ee062k.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_tmua0bQEN.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_vLOe0Ofr2.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc1_R3kEMS5WT.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_6Bnl8pJTQ.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_gyOzSkCUU.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_pmb5r9mH8.jpg!m_fill,w_780,h_439,l_flianjia_black,o_auto","基本信息,面积：59.00㎡,朝向：东南,维护：3天前,入住：随时入住,楼层：中楼层/25层,电梯：有,车位：暂无数据,用水：民水,用电：民电,燃气：有,采暖：暂无数据,租期：3年以内,
                
,看房：需提前预约,
                
",,,https://cd.lianjia.com/zufang/CD2746447094398328832.html,【交通出行】地铁站：洪河地铁站 公交车站及路线：三环路娇子立交桥东站（枫树街站56、196、238、332、343、541路【周边配套】距离小区西北门261米（来源于高德地图）有曼购，生活便利，距离小区东南门2.3公里（来源于高德地图）处有华西附二院，距离小区西北门260米（来源于高德地图）有中国银行，工商银行【小区介绍】此小区建成年代为2014年，交房时间为2015年9月，小区环境不错,"
        整租·海棠佳苑 3室1厅 东南              "
建发金沙里,"104.012275,30.697034",5000,房源维护时间：2021-06-06,,"https://image1.ljcdn.com/510100-inspection/ec6188c5-046f-44fa-b09a-bdc6721d0fb8.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://p.ljcdn.com/v0/hdic.t_s/hdic-frame/be05bdc1-3b85-496f-9084-08856d4abd4c.png","基本信息,面积：44.66㎡,朝向：东南,维护：4天前,入住：随时入住,楼层：中楼层/32层,电梯：有,车位：租用车位,用水：商水,用电：商电,燃气：无,采暖：自采暖,租期：1年以内,
                
,看房：需提前预约,
                
",,,https://cd.lianjia.com/zufang/CD2748350603125063680.html,【户型介绍】建发公馆主要是酒店式公寓，本房也是标间，适宜出租给酒店做小型办公室等【装修描述】建发公馆主要是酒店式公寓，本房也是标间，适宜出租给酒店做小型办公室等【出租原因】建发公馆主要是酒店式公寓，本房也是标间，适宜出租给酒店做小型办公室等,"
        整租·建发金沙里 1室0厅 东南              "
曹家巷恒大雅苑,"104.09299829139,30.680671193739",4199,房源维护时间：2021-05-26,,https://image1.ljcdn.com/rent-user-avatar/9b2dcb8d-62e0-4df6-a33d-7ce7b5b9c75c.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/6d962984-cfc8-4ed6-abbc-bf0d95060316.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/755aa43a-a479-49d8-bb8b-025cb8d44312.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/d9523058-36af-41e7-9fae-51e829382ed6.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/33e0e6d6-141e-4f69-a3cc-444282c7c3ec.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/01d595ce-c5e0-4812-b197-8dcf0b62ac75.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/597ce8c6-f05d-42ec-80c4-009bbd227cc5.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/4ea30787-73d5-42c8-9e0e-4a47ad188e42.780x439.jpg,"基本信息,面积：104.00㎡,朝向：南,维护：14天前,入住：随时入住,楼层：22/30层,电梯：有,车位：租用车位,用水：民水,用电：民电,燃气：有,采暖：自采暖,租期：1~2年,
                                                  ,看房：随时可看,
                                                  ",,,https://cd.lianjia.com/zufang/CD2771792426749673472.html,1、房屋介绍：室内装修安全，房屋干净整洁，空间大，格局合理，洗澡做饭都可以，非常适合居家居住。2、小区介绍：曹家巷恒大雅苑小区附近配套齐全，交通便利，出行娱乐都非常方便。3、总结：周边租客都是都市青年，邻居素质高，好相处。欢迎您来电！,"
        整租·曹家巷恒大雅苑 3室2厅 南              "
蓝光COCO蜜城,"104.00047963,30.67508462",3000,房源维护时间：2021-06-06,,"https://image1.ljcdn.com/110000-inspection/pc0_NXjSdThub.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_ALkqVQui4.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc1_EmvG4Kdcu.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_vKoHwC6b5.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_0MGvud3BS.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_x7CenDi3T.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_VON9aVYyb.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_YXarALC68.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_aLP6jSaxZ.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_PakmewHGm.jpg!m_fill,w_780,h_439,l_flianjia_black,o_auto","基本信息,面积：67.95㎡,朝向：东,维护：3天前,入住：随时入住,楼层：高楼层/30层,电梯：有,车位：租用车位,用水：民水,用电：民电,燃气：有,采暖：自采暖,租期：1年以内,
                
,看房：需提前预约,
                
",,,https://cd.lianjia.com/zufang/CD2747951044968857600.html,【房源亮点】跃层，装修精致，空间大，套三有一房间未装修作套二出租相对划算【周边配套】此房所处位置相对繁华，楼下就是蓝光耍街，楼下200米（来源于百度地图）就是公交站35路、137路等，且楼下有联合一百超市，购物方便；【小区介绍】此房为2014年建成的小区，该栋3梯9户，物业公司为嘉宝物业，绿化达到35%，物业费2.6元月。,"
        整租·蓝光COCO蜜城 2室1厅 东              "
茂业豪园,"104.09844709922,30.64789028134",5280,房源维护时间：2021-06-08,,https://image1.ljcdn.com/rent-user-avatar/defaf76f-2f61-498e-9ce4-ceb1a18554eb.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/6296cd28-851b-43b5-a840-23130ba78075.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/5f7e836f-0927-4265-8f81-e4278689b052.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/751955ad-a469-4a51-8779-a65862b76a59.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/07161edc-0e87-46d9-9c07-8b93160682d2.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/24dab5e5-c1e0-4538-9d19-b4f59cae37fe.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/b4853f75-fca8-4d9d-8fde-3381ef56e0ff.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/7a4db8b8-7cba-46e2-a6bd-3951d81c79c6.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/54c8d5dc-08a7-4d89-acb2-fb45a3913674.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/68f79dbd-c145-47cd-8db7-5673d43fc2f3.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/47033b9a-cea2-4d60-ace9-2731e20df0a2.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/9344c9b7-2366-4710-ac22-85f58036dcae.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/f29563b4-8389-4b1c-9e4a-061deebdb3bf.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/23071766-7f48-4e1f-8fee-69c63638a967.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/5d53ff3f-0a4d-41a1-b2b5-cede7f86a224.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/dc4714da-7ef5-463b-9761-f933a5a81645.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/7d961d9f-f93f-4c2c-8072-67504a8f6bd8.780x439.jpg,"基本信息,面积：110.00㎡,朝向：南,维护：1天前,入住：随时入住,楼层：32/32层,电梯：无,车位：租用车位,用水：民水,用电：民电,燃气：有,采暖：集中供暖,租期：1年,
                                                  ,看房：随时可看,
                                                  ",,,https://cd.lianjia.com/zufang/CD2788454047496011776.html,自轩逸家—城市青年的环保精装公寓服务商　【精致装修】【专属管家】【及时维修】①交通出行：交通便利，地铁2号线牛市口地铁口，平时出行方便②周边配套：周边配套设施齐全，楼下吃喝玩乐方便③房屋状况：全新家具家电，户型方正，时尚都市风，采用E0级别环保材料，房间完全没有异味，让您感受到家一般的温暖。,"
        整租·茂业豪园 3室1厅 南              "
曹家巷恒大雅苑,"104.09299829139,30.680671193739",4099,房源维护时间：2021-05-26,,https://image1.ljcdn.com/rent-user-avatar/0e17abf9-a16d-4ca2-9e5d-7e042d14d1f0.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/470e6137-b849-4c17-ab65-9c1c84e3c5c7.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/fbeaec4b-f4fc-43cd-b8df-14a8f9abb15e.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/974aa8db-ee25-466c-87f3-0634b1e7c7c1.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/f6a6ef42-45ca-48ce-9683-c5a2858c1902.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/5015c91c-9788-4a14-90ef-185632b9913a.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/33c8cb08-1a97-4e65-b8e9-b2fa7304681f.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/0fc0187f-7b67-4646-a9d9-b7677ade627b.780x439.jpg,"基本信息,面积：103.00㎡,朝向：南,维护：14天前,入住：随时入住,楼层：22/30层,电梯：有,车位：租用车位,用水：民水,用电：民电,燃气：有,采暖：自采暖,租期：1~2年,
                                                  ,看房：随时可看,
                                                  ",,,https://cd.lianjia.com/zufang/CD2771792427655643136.html,1、房屋介绍：室内装修安全，房屋干净整洁，空间大，格局合理，洗澡做饭都可以，非常适合居家居住。2、小区介绍：曹家巷恒大雅苑小区附近配套齐全，交通便利，出行娱乐都非常方便。3、总结：房屋照片均是实景拍摄，随时都能看房，随时欢迎您来电！,"
        整租·曹家巷恒大雅苑 3室2厅 南              "
首创天禧68,"104.112651,30.684007",3500,房源维护时间：2021-06-06,,"https://image1.ljcdn.com/110000-inspection/c5362d8e74079258dc4aca33a49312af-027.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/bdcb5aa27ba96c40efea756ad4c097a8-053.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/8cbaca3e968e0f98a4c74f9e88ad0d53-080.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/94f4f132416ddad91bb4737d7d9d5727-002.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/c6422d4970714204720d90c781c17750-023.jpg!m_fill,w_780,h_439,l_flianjia_black,o_auto","基本信息,面积：66.23㎡,朝向：西北,维护：3天前,入住：随时入住,楼层：中楼层/31层,电梯：有,车位：暂无数据,用水：民水,用电：民电,燃气：有,采暖：暂无数据,租期：1年以内,
                
,看房：需提前预约,
                
",,,https://cd.lianjia.com/zufang/CD2747935663306309632.html,,"
        整租·首创天禧68 2室1厅 西北              "
华都美林湾,"104.145772,30.596231",2200,房源维护时间：2021-06-06,,"https://image1.ljcdn.com/110000-inspection/pc0_OAG1H8bUj.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_lGH7tTpLD.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_q9SiQ2pPm.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_hwfVGdH3I.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc1_kXS4bF5Tv.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_ZnYnMvI2t.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_uVnhOvYAJ.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_F0Tixs7CW.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_8LXnkQusc.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/pc0_3btR8ufNx.jpg!m_fill,w_780,h_439,l_flianjia_black,o_auto","基本信息,面积：86.77㎡,朝向：东南,维护：3天前,入住：随时入住,楼层：低楼层/33层,电梯：有,车位：暂无数据,用水：民水,用电：民电,燃气：有,采暖：暂无数据,租期：3年以内,
                
,看房：需提前预约,
                
",,,https://cd.lianjia.com/zufang/CD2748381277530374144.html,"【交通出行】此小区的交通便利，小区门口坐133路，40路，23路可以直达洪河地铁站，然后乘坐56路，56A路可以直达市里。【周边配套】此小区的生活便利，楼下有红旗连锁超市，兴元兴超市，蔬果超市，理发店，建行ATM，侧面就是国家4A级景区，幸福梅林，小区的居住环境优美。【小区介绍】此小区的居住环境比较好，门卫一天24小时值班，进出小区都需要刷卡，物业费为1.5,元，小区的绿化面积大，居住环境好，人口素质高，小区共有5个门，进出小区方便，有地下地上停车场。","
        整租·华都美林湾 2室1厅 东南              "
西岸观邸,"104.01875764157,30.712631523366",760,房源维护时间：2021-05-15,,https://image1.ljcdn.com/rent-user-avatar/a64764ab-a65e-4ff5-94fc-82ccab8cf48d.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/270e65c6-ad06-4d6d-b7dc-63d9bc5e73e9.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/7bb01d82-f450-4852-8017-7b4fd7d0ebd9.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/19b387af-c9f4-4f3b-96a4-3af8de29b993.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/a1438586-f3ec-497a-9222-d8e0e25d9c97.780x439.jpghttps://image1.ljcdn.com/rent-user-avatar/bc852a28-8c2d-4dcc-9379-fe83e93f1f13.780x439.jpg,"基本信息,面积：14.00㎡,朝向：东,维护：25天前,入住：随时入住,楼层：16/32层,电梯：有,车位：免费使用,用水：民水,用电：民电,燃气：有,采暖：集中供暖,租期：1年,
                                                  ,看房：随时可看,
                                                  ",,,https://cd.lianjia.com/zufang/CD2786990347002593280.html,1、房屋介绍：室内装修安全，房屋干净整洁，空间大，格局合理，洗澡做饭都可以，非常适合居家居住。2、小区介绍：西岸观邸小区紧邻繁华地段，小区周边配套成熟，交通选择多，生活设施全。3、总结：周边租客都是都市青年，邻居素质高，好相处。欢迎您来电！,"
        合租·西岸观邸 4居室 东卧              "
万科城,"103.98727093968,30.746026204341",2700,房源维护时间：2021-06-09,,"https://image1.ljcdn.com/110000-inspection/f6c81b2058bd3330770165e38ed82bc4-029.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/30e9e430e4f9d5eb4e92c8163d37ca33-020.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/0cd407f0019c21a70d4f78c7ac8ca4a3-093.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/822a92bd3269d1b1754a33b5549f5f07-051.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/b997b9d7797372b8ecab1fc5446cd364-025.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/dbdb333d8ea8385dc66ebb06717e5148-002.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/8257cebe55f0502f91426acd86b66646-043.jpg!m_fill,w_780,h_439,l_flianjia_black,o_autohttps://image1.ljcdn.com/110000-inspection/72eb5a9a578924efab2c290ff0de0b53-007.jpg!m_fill,w_780,h_439,l_flianjia_black,o_auto","基本信息,面积：79.60㎡,朝向：东南,维护：今天,入住：随时入住,楼层：低楼层/24层,电梯：有,车位：暂无数据,用水：民水,用电：民电,燃气：有,采暖：自采暖,租期：1年以内,
                
,看房：需提前预约,
                
",,,https://cd.lianjia.com/zufang/CD2747603278186954752.html,【户型介绍】此房的小区是万科成都泰新房地产开发有限公司开发，是一期和二期一起的，一期建成2016年，二期建成2017年，总共19栋，3984户。物业公司是万科服务有限公司。位于羊西线百草路地铁口（成实外）边。【周边配套】自身为万科城小区配备有万科生活广场，其中红旗连锁，迷你永辉，人民食堂，柴炉饭兜等商家相继入住。挨着教师宿舍公寓，相觑于成实外校区，消费人群稳定，追求消费品质。还有爱情海购物广场，车位停车免费，购物，建身，看电影，吃火锅，【小区介绍】区门口离地铁二号线百草路地铁口1200米左右，出门左边100米有天目路南站有54路、183路、231路、314路、733路，200米左右有百草路东站有314路（数据来源于高德地图,"
        整租·万科城 3室2厅 东南              "
